Step,AgentID,Wealth,Rank
0,0,-57794.047653758,0
0,1,-58552.33715343198,1
0,2,-58338.79539046662,2
0,3,-58537.25099673982,3
0,4,-58646.9576349463,4
0,5,-58482.84121364388,5
0,6,-58933.292457930685,6
0,7,-58548.40971645961,7
0,8,-59000.90265648753,8
0,9,-58952.928388413246,9
0,10,-58721.07075713208,10
0,11,-58742.72369936467,11
0,12,-58661.844787822,12
0,13,-58670.365932761226,13
0,14,-58614.94703685708,14
0,15,-58748.68863062725,15
0,16,-58538.995882671064,16
0,17,-58373.219145607516,17
0,18,-58647.28539393134,18
0,19,-58736.78217201355,19
0,20,-58666.84495659532,20
0,21,-58600.291765479255,21
0,22,-58749.194947844524,22
0,23,-58470.83867226145,23
0,24,-58974.5116593448,24
0,25,-58780.72396394699,25
0,26,-58576.46375571969,26
0,27,-58848.69056300228,27
0,28,-58774.2973056312,28
0,29,-58809.14476933144,29
0,30,-58692.90601623131,30
0,31,-58622.926344572414,31
0,32,-58671.29302271282,32
0,33,-59084.97969940872,33
0,34,-58637.39334734178,34
0,35,-58921.96201143319,35
0,36,-58705.71923713829,36
0,37,-58826.881853657826,37
0,38,-58595.95105006624,38
0,39,-58812.484326679405,39
0,40,-58665.66256680504,40
0,41,-58814.31999595616,41
0,42,-58255.44381441618,42
0,43,-58797.507012154216,43
0,44,-58411.367938841795,44
0,45,-58196.930380035454,45
0,46,-58518.460263914065,46
0,47,-58875.71649142862,47
0,48,-58627.825841441125,48
0,49,-58476.40985683706,49
0,50,-59238.07116163566,50
0,51,-59088.28632482856,51
0,52,-58421.52649762963,52
0,53,-58552.64827647794,53
0,54,-58581.218415490934,54
0,55,-58504.879176856026,55
0,56,-58945.05416546738,56
0,57,-58190.35884822864,57
0,58,-58447.33907165146,58
0,59,-58492.52592712909,59
0,60,-58300.15620243202,60
0,61,-58776.79453280865,61
0,62,-58615.325949399186,62
0,63,-58608.44542234582,63
0,64,-58314.87375787928,64
0,65,-58382.06295205162,65
0,66,-58801.70260634057,66
0,67,-58545.045675007685,67
0,68,-58629.28504267934,68
0,69,-59360.99649734854,69
0,70,-58919.40406422719,70
0,71,-58708.04492335266,71
0,72,-58470.73662135222,72
0,73,-58815.12124694628,73
0,74,-58756.952648776,74
0,75,-58894.719656150366,75
0,76,-58400.294964755216,76
0,77,-58975.65367900022,77
0,78,-58641.05550869802,78
0,79,-58647.079421992974,79
0,80,-58522.634931945744,80
0,81,-58729.58898884162,81
0,82,-58387.1891438554,82
0,83,-58234.4713579994,83
0,84,-58468.33347734382,84
0,85,-58553.34805728618,85
0,86,-58668.72450456855,86
0,87,-58653.78394412123,87
0,88,-58715.330908882315,88
0,89,-58793.04082983775,89
0,90,-58641.02978059011,90
0,91,-58980.65189406398,91
0,92,-58804.99260568779,92
0,93,-58389.51132300568,93
0,94,-58400.285737099126,94
0,95,-58530.66264074222,95
0,96,-58693.6381996417,96
0,97,-58712.50421748003,97
0,98,-58669.424882090585,98
0,99,-58604.52511198675,99
0,100,-25754.85259280864,100
0,101,-26003.215077910336,101
0,102,-25598.499043020347,102
0,103,-26086.555749417585,103
0,104,-25965.06659193514,104
0,105,-25940.57771311959,105
0,106,-25973.523636117323,106
0,107,-25917.213230044104,107
0,108,-25939.16869941587,108
0,109,-25933.94299579596,109
0,110,-25777.597121858496,110
0,111,-25974.41419674797,111
0,112,-25925.912230152142,112
0,113,-26018.404436448778,113
0,114,-25692.355540048426,114
0,115,-26052.274816521516,115
0,116,-26091.611404327352,116
0,117,-26139.64067382997,117
0,118,-26212.960983582878,118
0,119,-25724.421816309085,119
0,120,-25990.312311506088,120
0,121,-25986.75162935048,121
0,122,-25990.765036236495,122
0,123,-25984.14714643453,123
0,124,-25699.967398046287,124
0,125,-25549.33456486074,125
0,126,-25940.253626200945,126
0,127,-25874.971650174415,127
0,128,-26055.481436243797,128
0,129,-25990.777845366207,129
0,130,-25849.02215754678,130
0,131,-25659.05538587829,131
0,132,-25974.94015412207,132
0,133,-25911.125792774616,133
0,134,-25748.818957085063,134
0,135,-26022.225661587,135
0,136,-25710.76105492311,136
0,137,-26090.853948199474,137
0,138,-26091.58822624266,138
0,139,-26072.22463403421,139
0,140,-26246.20228674449,140
0,141,-26155.077935589972,141
0,142,-25595.153011977454,142
0,143,-25947.593047523544,143
0,144,-25898.184058365758,144
0,145,-25770.09071291451,145
0,146,-25839.701864929615,146
0,147,-25886.211734546105,147
0,148,-25718.87050931356,148
0,149,-25796.709334679574,149
0,150,-25981.897376277306,150
0,151,-25840.963424260237,151
0,152,-25887.95337304193,152
0,153,-25742.686896416228,153
0,154,-26018.575998839628,154
0,155,-26091.490472328685,155
0,156,-26148.97757998514,156
0,157,-25874.501090219415,157
0,158,-25949.432249984286,158
0,159,-26160.85807667524,159
0,160,-25902.599371943517,160
0,161,-25681.2627554071,161
0,162,-25961.208669740816,162
0,163,-25965.46876393674,163
0,164,-25493.3652780574,164
0,165,-25889.566512077632,165
0,166,-26021.439718172307,166
0,167,-26050.548108802228,167
0,168,-25934.581083585184,168
0,169,-26089.063340359517,169
0,170,-25854.316686218568,170
0,171,-25964.513400338215,171
0,172,-25907.914523275573,172
0,173,-25918.96904547145,173
0,174,-25864.35402312636,174
0,175,-26166.21337036424,175
0,176,-26263.091299946504,176
0,177,-25880.004701816797,177
0,178,-26008.32822381738,178
0,179,-26139.14647296826,179
0,180,-25930.92309045203,180
0,181,-26093.1339590683,181
0,182,-25850.19303075063,182
0,183,-25886.609190626295,183
0,184,-25585.717528392735,184
0,185,-25721.329938002764,185
0,186,-25588.96862914017,186
0,187,-25619.797219108877,187
0,188,-25893.377336197715,188
0,189,-25941.6968745841,189
0,190,-25673.907619243106,190
0,191,-26028.090142579575,191
0,192,-25694.401352667697,192
0,193,-25976.689498396372,193
0,194,-25956.626062275867,194
0,195,-26021.67650486087,195
0,196,-26185.384775527178,196
0,197,-25905.588902084328,197
0,198,-26061.046062052137,198
0,199,-25986.880526024852,199
0,200,-20347.580271203555,200
0,201,-20404.46872444338,201
0,202,-20397.483683661594,202
0,203,-20413.839373750896,203
0,204,-20555.498263566216,204
0,205,-20344.98379616237,205
0,206,-20431.911151842218,206
0,207,-20348.85621830987,207
0,208,-20232.265184647935,208
0,209,-20346.821048445592,209
0,210,-20024.501672222646,210
0,211,-20331.457693704822,211
0,212,-20473.041143634076,212
0,213,-20343.236424383143,213
0,214,-20510.63284314125,214
0,215,-20344.6266287807,215
0,216,-20356.830827993184,216
0,217,-20200.27706702012,217
0,218,-20272.598855207256,218
0,219,-20259.736575761275,219
0,220,-20411.816784947932,220
0,221,-20338.730030016424,221
0,222,-20383.64982378646,222
0,223,-20260.497077396143,223
0,224,-20387.55791020462,224
0,225,-20720.87287111706,225
0,226,-20435.437326678937,226
0,227,-20406.248696921335,227
0,228,-20510.139578963976,228
0,229,-20163.94745000003,229
0,230,-20504.213181725307,230
0,231,-20417.95699161004,231
0,232,-20391.759204198326,232
0,233,-20374.61546908309,233
0,234,-20293.351614551637,234
0,235,-20750.797315394368,235
0,236,-20212.732440477823,236
0,237,-20374.845536011126,237
0,238,-20518.711429537765,238
0,239,-20172.55588087947,239
0,240,-20529.309617683684,240
0,241,-20601.64671694348,241
0,242,-20631.298601884188,242
0,243,-20446.586543138288,243
0,244,-20385.18609123485,244
0,245,-20477.54592450113,245
0,246,-20362.29312872832,246
0,247,-20297.100543879602,247
0,248,-20522.396425234398,248
0,249,-20250.440317203007,249
0,250,-20697.349871894072,250
0,251,-20373.694882761218,251
